Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
BTN3A1	12.79403194	25.58246181	13.35510261	17.33867914	13.66628754	13.13611589	23.52864346	13.36903266	13.32254295	16.9602278
SPRY1	3.861407548	13.75664506	3.767848547	9.929824015	4.013896219	3.977070398	12.77336962	3.859080245	3.65975526	10.08939354
POLE4	7.833861652	5.781308118	7.490017735	7.115136267	8.043307577	7.652098655	5.278212882	7.637850858	7.69341223	6.713189524
NPRL3	13.87743939	15.38028212	13.76689951	15.09186056	13.82570368	12.48433073	13.73506411	13.88933676	14.77562829	14.8005848
AC016773.2	1.254792352	2.534451909	1.781734461	1.61403651	1.65129577	1.811676389	2.618470977	1.497413488	1.584124466	1.448502723
POC1A	18.28067026	26.73067648	19.0334195	21.81077212	18.00431537	18.60336682	26.03031172	19.49611936	17.96472052	20.44841657
SLC11A2	12.77667711	11.02251572	12.16833404	12.44882859	12.60318105	12.3930179	11.57684788	11.47004553	12.20274593	12.04646723
LDLRAP1	4.541633521	2.9520203	4.283663195	3.1589494	5.179282427	4.249993236	2.719451315	5.164461578	5.229895961	2.79953393
DMTN	2.442751243	1.294275986	2.176360713	1.857825259	2.387312882	2.065857898	1.378618936	2.426531338	2.384833994	1.999986692
RNU6-988P	0.587315432	0.528034886	0.34590172	1.002704754	1.446713955	0.214936685	1.082280286	1.091913779	0.890242106	1.546648936
PECAM1	18.77303823	28.90500787	18.95663783	27.16486571	20.84370702	19.03522564	28.38016483	20.8872384	20.17529304	27.57583339
FMNL1	68.81530383	53.24918911	69.0269068	40.43800849	72.8833256	61.74782703	46.24469179	74.28863446	74.49674079	39.86732096
ERMARD	10.18417206	9.258682413	9.957532083	11.04020661	10.0433001	9.997868557	9.729075066	9.298661942	10.3632898	10.50262967
ZNF484	7.369310921	6.457196677	7.624334765	6.652324595	7.818386654	7.811897172	6.995684216	7.780146526	7.665870311	6.494777829
SRPRA	68.89867946	74.42316611	69.59795139	69.4587536	69.1175344	67.83937314	70.70015905	70.54691836	68.83563048	69.48589687
PRAG1	4.173303449	4.754956872	4.140397182	4.791485204	4.249367656	3.688260276	4.087199669	4.402619539	4.132671065	4.696609384
WIPI2	25.01339429	27.1058898	24.21775058	24.24571678	24.2688707	23.82088395	26.32185194	24.71497622	24.55009341	23.66955692
HES1	11.6308965	2.215148254	10.37496521	3.52522343	11.5975939	10.44046417	1.8136498	11.36026106	11.04363703	3.861466843
H2AZ1	195.0214476	135.5768189	190.9733515	184.0327238	173.5718153	194.9221923	147.5063597	177.1698144	178.310948	179.2016974
AC069307.1	3.022637923	1.295575528	3.725988326	1.620142078	2.640576618	2.675408757	1.899841755	2.277699341	2.131004594	2.128804827
AP005131.7	2.494168114	1.988124804	2.15042174	1.997409205	1.963482074	2.785382439	2.337560095	2.403895288	2.307344353	1.828260546
TMEM151B	2.584857616	2.631707163	2.554855037	2.457759821	2.935369653	2.26657321	2.436654931	2.746094706	2.793087024	2.586330223
AC018816.1	1.759350108	2.164528074	1.599710508	1.923410323	2.547026607	1.445860921	1.820102014	1.508391698	2.133432851	2.032065768
MCTS1	5.922061501	3.119372843	5.810459042	5.228916312	5.503691436	6.176405493	3.764607123	5.266705771	5.390905368	5.235867719
SYF2	17.6805294	22.92961888	17.77947182	19.50157257	15.75006587	19.11830042	25.53747534	15.89953352	16.91496301	20.5809941
AC009570.1	2.256434357	5.574134712	2.732391439	4.24837256	2.675207131	2.06829677	5.854966864	2.016324007	2.608349624	4.998063507
AC011257.1	7.491929418	5.881199944	8.693088777	8.54306235	8.883003879	8.429954459	6.456450249	8.078052525	8.542522475	11.04257803
MEMO1P1	1.203070688	1.145264854	1.187868575	1.178008711	1.416370433	1.320844019	0.782459396	1.654031555	1.394512128	1.257958552
RAVER1	9.92923504	9.769770543	9.515098122	9.167494758	10.14699674	8.526936283	8.644789697	10.26763245	10.10000821	8.983367431
NSDHL	13.90220165	16.51376533	14.11403565	14.72814919	12.4987246	13.55050916	16.48927526	13.14857877	12.1499349	14.21980425
GATD3B	1.259632167	1.266250325	0.911267599	1.253064433	1.490325439	1.335755508	1.291584912	1.285519704	1.262862382	1.149246084
HMMR	14.46570956	16.23711651	13.91612165	23.41619804	12.21552307	15.73883852	20.06859608	11.87052819	12.79764352	22.33256449
PRR36	7.716420205	8.812668194	7.295413408	8.022086974	7.836083873	7.161524816	7.543980585	8.631178766	8.751516356	8.187510048
SH3GLB1	14.66428202	16.207792	14.26340958	15.05018135	14.75811819	15.69906734	17.78196345	14.31479345	14.27953303	14.57919057
ZNF436	6.720585379	8.275660749	6.635541539	7.986633197	6.903522966	7.102923326	8.593442828	6.556653152	6.924986984	8.608149169
WDR43	44.60024979	14.35457415	44.32721662	27.43056011	42.02758714	47.95779377	14.44522112	41.50771729	40.00965381	27.07054724
PPP1R14BP3	9.426412686	6.0943532	9.731109285	7.685055962	11.87077566	11.57663474	7.026309544	11.43968096	9.375749787	7.437817354
